sme_id,registration_date,country,region,urban_rural,sector,owner_age,owner_sex,owner_education,business_name,years_in_business,n_employees,annual_revenue_usd,annual_revenue_reported,currency_reported,business_expenses_usd,personal_income_usd,keeps_financial_records,registered_with_tax,has_physical_premises,phone_number,data_source,record_quality
SME_00024,2008-10-24,Morocco,Casablanca,rural,food_processing,71.0,Female,tertiary,Sahara Solutions & Sons,1.7,6,196.89,196.89,USD,265.65,,No,Don't know,Yes,+212870627339,business_registry,complete
SME_00025,2012-07-24,Uganda,Mbarara,rural,food_processing,27.0,Female,secondary,Grace General Store Ltd,2.0,1,624.98,624.98,USD,31.25,,No,No,No,+256468189820,business_registry,complete
SME_00026,2015-08-10,Kenya,Meru,peri-urban,food_processing,22.0,Male,tertiary,Uhuru Enterprises & Partners,14.2,6,43945.21,43945.21,USD,17336.72,1017.4,Partially,No,Yes,+254550180824,business_registry,complete
SME_00027,2016-05-02,Tanzania,Dodoma,urban,retail,36.0,Male,secondary,Selous Construction & Associates,1.5,1,99035.49,99035.49,USD,,1461.76,No,Yes,Yes,+255747871878,business_registry,complete
SME_00028,2011-04-01,Kenya,Eldoret,peri-urban,retail,32.0,Male,primary,Harambee Farm & Sons,4.1,2,12329.57,1602800.0,KES,,103.3,Partially,No,No,+254866822264,business_registry,partial
SME_00029,2006-10-30,Kenya,Kisumu,peri-urban,food_processing,37.0,Male,secondary,Safari Solutions & Sons,14.5,1,,4720.84,USD,236.04,20.01,No,Yes,No,+254681150797,business_registry,minimal
SME_00030,2015-12-21,Ghana,Takoradi,urban,agriculture,52.0,Male,tertiary,Kwame Solutions Ltd,3.1,2,50.0,50.0,USD,2.5,319.69,Yes,No,No,+233477952760,business_registry,partial
SME_00031,2017-09-07,Uganda,Entebbe,rural,agriculture,41.0,Male,tertiary,Kampala Bakery Group,11.3,6,182991.71,182991.71,USD,19515.87,351.52,No,No,Yes,+256779810949,business_registry,partial
SME_00032,2009-10-23,Senegal,Kaolack,urban,transport,42.0,Female,secondary,Djoloff Enterprises SARL,0.8,4,2997.95,2997.95,USD,1941.56,1090.49,No,No,Yes,+221846223102,business_registry,complete
SME_00033,2016-07-03,Nigeria,Benin City,peri-urban,agriculture,42.0,Female,secondary,Kola Bakery & Associates,1.5,2,204.59,204.59,USD,296.3190396857663,20.0,No,No,Yes,+234054795054,business_registry,complete
SME_00034,2015-03-28,Nigeria,Benin City,urban,retail,18.0,Male,tertiary,Ngozi Tech Ltd,1.6,4,186350.94,186350.94,USD,107303.17,,Partially,No,Yes,+234330383105,business_registry,partial
SME_00035,2014-01-07,Tanzania,Zanzibar,rural,food_processing,22.0,Female,tertiary,Neema Foods Ltd,11.5,5,1239.86,1239.86,USD,1069.26,1820.82,No,Yes,Yes,+255591104418,business_registry,complete
SME_00036,2005-02-23,Kenya,Nairobi,urban,agriculture,37.0,Male,secondary,Harambee General Store & Partners,,8,6645.28,863900.0,KES,,,Partially,No,Yes,+254736538739,business_registry,minimal
SME_00037,2010-07-12,Kenya,Thika,urban,construction,30.0,Male,tertiary,Uzuri Solutions & Partners,10.4,5,840.41,840.41,USD,874.38,1875.83,No,No,Yes,+254472934030,business_registry,partial
SME_00038,2011-09-27,Tanzania,Mbeya,urban,agriculture,39.0,Female,secondary,Amani Services Ltd,3.6,6,4112.2,10280500.0,TZS,3898.74,103.33,Yes,No,No,+255137996323,business_registry,partial
SME_00039,2020-01-01,Nigeria,Benin City,peri-urban,construction,60.0,Female,tertiary,Chidi Farm & Partners,6.4,4,5091.43,5091.43,USD,254.57,144.18,Partially,No,Yes,+234200812604,business_registry,complete
SME_00040,2019-11-13,Ghana,Tamale,rural,services,41.0,Male,secondary,Asante Construction Co.,6.7,2,6961.45,6961.45,USD,4406.67,395.71,Yes,Yes,Yes,+233484173758,business_registry,complete
SME_00041,2020-09-19,Tanzania,Mbeya,peri-urban,agriculture,24.0,Male,secondary,Jua General Store S.A.,3.6,4,14915.58,14915.58,USD,7316.01,,No,No,No,+255771087067,business_registry,complete
SME_00042,2013-04-30,Rwanda,Nyagatare,rural,agriculture,31.0,Female,tertiary,Kigali Tech SARL,10.9,10,1957.59,1957.59,USD,1410.47,129.26,No,No,Yes,+250646240782,business_registry,complete
SME_00043,2010-11-18,Uganda,Jinja,rural,retail,64.0,Male,secondary,Blessed Traders Group,7.6,10,,,USD,,,No,Yes,Yes,+256835038922,business_registry,complete
SME_00044,2013-12-25,Nigeria,Lagos,rural,retail,62.0,Male,tertiary,Amaka Construction & Partners,8.7,1,1358.06,1358.06,USD,67.9,1081.7,No,No,Yes,+234937880196,business_registry,complete
SME_00045,2019-03-30,Rwanda,Kigali,rural,agriculture,50.0,Female,primary,Agaseke Tech Limited,2.2,6,226.03,226.03,USD,,908.03,No,No,Yes,+250014199221,business_registry,complete
SME_00046,2016-03-07,Rwanda,Musanze,urban,tech,21.0,Male,secondary,Agaseke Traders & Associates,1.2,2,290.49,348600.0,RWF,266.86,685.16,Partially,No,Yes,+250745134868,business_registry,complete
SME_00047,2015-10-26,Nigeria,Kano,urban,agriculture,46.0,Male,tertiary,Emmanuel Electronics,,5,850.05,850.05,USD,,,No,No,No,+234285924431,business_registry,minimal
SME_00048,2012-10-23,Nigeria,Lagos,rural,transport,47.0,Male,secondary,Amaka Bakery Group,7.7,1,14357.33,14357.33,USD,20168.34,386.69,No,Don't know,Yes,+234804397065,business_registry,complete
SME_00049,2017-07-12,Ghana,Cape Coast,rural,agriculture,42.0,Male,primary,Adinkra Enterprises SARL,1.4,2,3454.22,3454.22,USD,3570.7,1259.2,No,Yes,Yes,+233204954588,business_registry,complete
SME_00050,2020-08-06,Kenya,Kisumu,urban,tech,34.0,Male,secondary,Furaha Hardware,1.8,1,1251.72,1251.72,USD,210.83,1052.65,Partially,No,Yes,+254487337318,business_registry,partial
SME_00051,2017-01-06,Kenya,Nyeri,peri-urban,agriculture,37.0,Male,secondary,Nguvu Agro Co.,5.5,2,920.91,920.91,USD,68.45,,No,No,Yes,+254209261865,business_registry,complete
SME_00052,2012-04-03,Kenya,Nyeri,urban,retail,33.0,Male,secondary,Kilimo Hardware Ltd,6.3,6,,,KES,,9124.59,Partially,No,No,+254418245882,business_registry,partial
SME_00053,2020-02-10,Uganda,Kampala,rural,food_processing,26.0,Male,tertiary,Kigezi Solutions S.A.,2.0,5,,,USD,,,No,No,Yes,+256848437775,business_registry,minimal
SME_00054,2021-12-15,Ghana,Sunyani,peri-urban,agriculture,60.0,Male,secondary,Abena Supplies SARL,3.5,23,1956.06,1956.06,USD,1727.71,1640.99,Partially,No,Yes,+233326048739,business_registry,complete
SME_00055,2019-05-01,Uganda,Mbale,urban,transport,53.0,Male,tertiary,Kampala Hardware Ltd,1.8,2,1502.53,5559400.0,UGX,1236.4,3196.94,No,No,No,+256422549969,business_registry,complete
SME_00056,2020-10-10,Uganda,Gulu,rural,retail,38.0,Male,secondary,Victory Tech & Sons,2.9,2,6008.34,6008.34,USD,5212.68,933.85,No,No,Yes,+256054132905,business_registry,partial
SME_00057,2009-10-11,Tanzania,Dar es Salaam,rural,food_processing,46.0,Female,secondary,Karibu Transport Co.,12.7,12,1002.59,2506500.0,TZS,68.78,350.7,No,No,Yes,+255914436536,business_registry,complete
SME_00058,2012-07-29,Tanzania,Zanzibar,rural,food_processing,47.0,Female,tertiary,Baraka Electronics Group,9.4,1,4110.88,4110.88,USD,,,No,No,No,+255114114815,business_registry,complete
SME_00059,2009-06-27,Kenya,Meru,urban,food_processing,73.0,Female,primary,Bora Services Co.,6.2,4,,,USD,,,No,Yes,No,+254401614923,business_registry,minimal
SME_00060,2011-08-01,Kenya,Thika,peri-urban,agriculture,53.0,Male,secondary,Tumaini Foods SARL,0.4,5,,,USD,,1748.21,No,No,Yes,+254120939903,business_registry,complete
SME_00061,2018-03-13,Ghana,Takoradi,urban,agriculture,53.0,Female,tertiary,Ama Traders Co.,2.4,1,2379.06,2379.06,USD,2131.67,6094.46,Yes,No,No,+233776025876,business_registry,complete
SME_00062,2017-03-04,Tanzania,Zanzibar,urban,agriculture,42.0,Male,secondary,Bora Bakery S.A.,2.7,1,1524.49,1524.49,USD,1674.64,59.47,No,No,No,+255823426371,business_registry,complete
SME_00063,2005-01-21,Tanzania,Mwanza,rural,retail,36.0,Female,secondary,Neema Agro Group,4.4,1,5585.05,5585.05,USD,1124.44,1215.51,Yes,Yes,Yes,+255355035432,business_registry,partial
SME_00064,2018-08-03,Uganda,Entebbe,rural,agriculture,60.0,Female,tertiary,Amara Hardware Co.,14.0,7,12285.0,45454500.0,UGX,7063.18,,No,No,Yes,+256927010978,business_registry,partial
SME_00065,2008-06-15,Ghana,Sunyani,rural,textile,50.0,Male,secondary,Adinkra Electronics Group,5.7,2,,,USD,,478.0,Partially,No,No,+233571326451,business_registry,complete
SME_00066,2008-05-06,Tanzania,Dar es Salaam,urban,retail,31.0,Male,none,Pwani Textiles SARL,,3,,,USD,,194.03,No,No,Yes,+255097894275,business_registry,complete
SME_00067,2014-10-12,Tanzania,Dodoma,rural,food_processing,48.0,Female,tertiary,Baraka Bakery Group,1.9,1,,,TZS,,3548.8,No,No,Yes,+255575960266,business_registry,minimal
SME_00068,2009-05-03,Nigeria,Abuja,rural,retail,53.0,Male,primary,Eko Foods & Sons,1.9,2,779.61,779.61,USD,612.76,1244.85,No,No,Yes,+234625636593,business_registry,partial
SME_00069,2022-04-28,Kenya,Nakuru,rural,retail,18.0,Female,secondary,Furaha Enterprises SARL,11.3,2,92899.98,92899.98,USD,180290.9,676.35,Partially,No,Yes,+254193786234,business_registry,partial
SME_00070,2007-08-19,Tanzania,Morogoro,rural,retail,29.0,Female,tertiary,Uhuru Farm Limited,18.0,3,268552.11,268552.11,USD,211683.1,,No,Yes,Yes,+255202745482,business_registry,partial
SME_00071,2007-09-24,Kenya,Nairobi,urban,retail,47.0,Female,secondary,Nguvu Textiles & Partners,2.3,3,141.98,141.98,USD,236.96,278.22,Yes,No,No,+254428587624,business_registry,complete
SME_00072,2018-09-07,Nigeria,Kano,rural,retail,18.0,Female,secondary,Obinna Electronics & Associates,4.3,12,513.0,769500.0,NGN,880.1804106519635,304.05,No,No,Yes,+234846146792,business_registry,complete
SME_00073,2010-02-26,Rwanda,Musanze,peri-urban,retail,18.0,Female,secondary,Inzira Enterprises SARL,2.0,6,,,USD,,976.16,No,No,Yes,+250060689152,business_registry,partial
SME_00074,2017-11-07,Nigeria,Enugu,urban,retail,38.0,Female,secondary,Ngozi Traders S.A.,5.4,1,2247.77,2247.77,USD,1778.45,324.41,No,No,Yes,+234656511997,business_registry,partial
SME_00075,2017-04-05,Kenya,Nakuru,urban,tech,48.0,Male,tertiary,Furaha Services Ltd,3.3,8,71.11,71.11,USD,68.35,382.98,Partially,No,Yes,+254544094764,business_registry,partial
SME_00076,2008-05-27,Nigeria,Kano,rural,agriculture,49.0,Male,tertiary,Ade Traders & Associates,2.5,7,267.9,267.9,USD,,20.0,No,Yes,Yes,+234366023168,business_registry,partial
SME_00077,2015-06-07,Nigeria,Ibadan,urban,retail,63.0,Female,secondary,Obinna General Store & Partners,6.7,4,,,USD,,2484.58,Yes,Yes,No,+234229676984,business_registry,minimal
SME_00078,2014-08-29,Ghana,Accra,rural,agriculture,43.0,Male,secondary,Mensah General Store SARL,2.8,8,1000.43,1000.43,USD,691.0,104.62,Yes,No,Yes,+233352008719,business_registry,complete
SME_00079,2006-09-14,Tanzania,Dar es Salaam,peri-urban,retail,37.0,Male,primary,Bora Farm & Associates,4.6,10,4526.59,11316500.0,TZS,,216.15,Partially,No,Yes,+255234202694,business_registry,partial
SME_00080,2018-10-01,Uganda,Jinja,peri-urban,services,24.0,Female,primary,Crane Foods,1.7,2,50028.63,185105900.0,UGX,2501.43,1345.67,Partially,No,No,+256397864402,business_registry,complete
SME_00081,2020-06-04,Ghana,Accra,urban,agriculture,37.0,Female,secondary,Kwame Bakery S.A.,3.4,1,157.56,157.56,USD,169.89,2277.7,Partially,No,No,+233376461141,business_registry,complete
SME_00082,2022-01-13,Nigeria,Lagos,urban,food_processing,51.0,Female,secondary,Kola Services,9.9,6,95372.26,95372.26,USD,109443.25,628.11,Partially,Don't know,Yes,+234824680400,business_registry,complete
SME_00083,2006-08-01,Rwanda,Kigali,urban,retail,52.0,Male,tertiary,Gorilla General Store S.A.,0.9,2,43744.24,43744.24,USD,2187.21,,No,No,Yes,+250242032217,business_registry,complete
SME_00084,2008-03-18,Kenya,Mombasa,urban,agriculture,45.0,Female,secondary,Uzuri Solutions & Sons,,4,66.25,66.25,USD,19.6,2555.25,No,No,Yes,+254272782327,business_registry,complete
SME_00085,2019-11-04,Kenya,Kisumu,rural,textile,49.0,Female,tertiary,Furaha Textiles & Sons,3.6,1,172.63,172.63,USD,,20.0,Partially,No,Yes,+254003171932,business_registry,complete
SME_00086,2010-06-23,Kenya,Nairobi,urban,retail,59.0,Female,tertiary,Jambo Construction S.A.,3.8,8,715.57,715.57,USD,718.32,2283.91,No,No,Yes,+254010068985,business_registry,partial
SME_00087,2016-04-02,Uganda,Gulu,rural,services,43.0,Female,tertiary,Kigezi Services & Partners,4.1,2,266.09,984500.0,UGX,,23.88,No,No,Yes,+256951057974,business_registry,complete
SME_00088,2011-04-08,Tanzania,Dodoma,urban,retail,60.0,Female,primary,Pwani Foods,,3,4219.94,,USD,1401.76,,Yes,No,Yes,+255417456080,business_registry,minimal
SME_00089,2008-11-30,Kenya,Nakuru,rural,textile,32.0,Male,secondary,Kilimo Traders Limited,,3,4642.33,603500.0,KES,,1138.18,No,No,Yes,+254607197192,business_registry,partial
SME_00090,2016-03-30,Tanzania,Mwanza,rural,retail,41.0,Male,tertiary,Selous Enterprises Group,0.9,1,1909.79,,USD,1519.67,,No,No,No,+255026558083,business_registry,minimal
SME_00091,2008-09-12,Kenya,Kisumu,rural,retail,35.0,Female,primary,Amani Transport S.A.,14.0,9,,2902.16,USD,,,No,No,Yes,+254750001431,business_registry,minimal
SME_00092,2007-06-16,Uganda,Gulu,rural,services,52.0,Female,secondary,Amara Bakery S.A.,,11,,,USD,,20.0,Partially,Yes,Yes,+256026224010,business_registry,minimal
SME_00093,2014-07-18,Tanzania,Zanzibar,urban,retail,28.0,Female,secondary,Baraka Tech & Partners,1.7,3,,,USD,,85.79,Yes,No,Yes,+255824346381,business_registry,complete
SME_00094,2008-06-24,Nigeria,Kano,urban,retail,37.0,Female,tertiary,Kola Textiles & Partners,,2,46308.2,,NGN,,180.31,Partially,No,Yes,+234956353030,business_registry,minimal
SME_00095,2008-06-17,Nigeria,Ibadan,urban,tech,18.0,Male,tertiary,Tunde Supplies & Associates,0.4,3,50.0,50.0,USD,4.68,,Partially,No,Yes,+234617024646,business_registry,complete
SME_00096,2019-01-15,Ghana,Sunyani,urban,food_processing,50.0,Male,tertiary,Adjoa Textiles,2.7,2,1528.79,18300.0,GHS,1165.63,,Partially,No,No,+233939413948,business_registry,complete
SME_00097,2014-07-06,Nigeria,Kaduna,rural,services,58.0,Male,secondary,Ade Farm & Partners,11.8,3,3417.19,5125800.0,NGN,1205.86,7918.67,No,No,No,+234375459716,business_registry,complete
SME_00098,2014-10-02,Kenya,Eldoret,urban,food_processing,54.0,Female,secondary,Kilimo Services S.A.,14.5,3,1239.23,1239.23,USD,2749.133486471181,2148.85,No,No,Yes,+254077143443,business_registry,partial
SME_00099,2007-08-01,Kenya,Nairobi,urban,transport,53.0,Male,tertiary,Amani Bakery Group,4.1,1,,,USD,,,Yes,No,Yes,+254093422643,business_registry,minimal
SME_00100,2007-11-20,Senegal,Dakar,peri-urban,construction,53.0,Male,tertiary,Teranga Hardware Limited,18.7,9,12807.14,12807.14,USD,3605.85,,Partially,No,Yes,+221540937305,business_registry,partial
SME_00101,2012-01-12,Morocco,Casablanca,rural,food_processing,51.0,Female,secondary,Sahara Foods & Sons,,3,,,USD,,70.57,Yes,No,Yes,+212365477663,business_registry,complete
SME_00102,2011-12-28,Uganda,Jinja,urban,retail,50.0,Male,primary,Grace Foods & Partners,0.2,19,,,USD,,,No,No,Yes,+256987887309,business_registry,minimal
SME_00103,2013-02-15,Nigeria,Abuja,urban,agriculture,51.0,Male,tertiary,Obinna Construction Group,5.4,4,102.24,153400.0,NGN,17.88,1055.73,No,No,No,+234871375198,business_registry,complete
SME_00104,2007-06-03,Senegal,Kaolack,urban,food_processing,33.0,Male,secondary,Teranga Enterprises Ltd,4.5,2,,,USD,,,Yes,Yes,Yes,+221726686269,business_registry,minimal
SME_00105,2021-02-28,Uganda,Mbarara,rural,transport,39.0,Female,none,Bwindi Foods Ltd,5.4,3,1444.63,1444.63,USD,1655.88,2016.52,No,Yes,No,+256801964699,business_registry,complete
SME_00106,2011-07-11,Uganda,Jinja,peri-urban,retail,43.0,Female,secondary,Grace Construction S.A.,1.8,2,2363.31,2363.31,USD,1807.28,1289.54,Yes,No,Yes,+256108163910,business_registry,complete
SME_00107,2019-09-07,Tanzania,Morogoro,urban,agriculture,37.0,Male,secondary,Bora Construction & Associates,0.6,3,5828.54,5828.54,USD,13677.451708224924,1042.36,No,No,No,+255368787097,business_registry,complete
SME_00108,2012-03-14,Nigeria,Kaduna,peri-urban,retail,21.0,Male,secondary,Obinna Agro & Partners,7.7,4,486.54,486.54,USD,394.25,176.08,No,No,Yes,+234175069462,business_registry,complete
SME_00109,2013-06-30,Kenya,Kisumu,peri-urban,retail,25.0,Male,primary,Bora Bakery Group,11.8,1,10766.47,10766.47,USD,1506.58,129.65,No,No,Yes,+254540558138,business_registry,complete
SME_00110,2007-01-07,Morocco,Fes,urban,transport,45.0,Female,secondary,Tariq Farm & Partners,3.4,1,51796.29,51796.29,USD,50555.3,131.09,Yes,No,No,+212471762585,business_registry,partial
SME_00111,2017-03-04,Tanzania,Mbeya,rural,agriculture,54.0,Female,tertiary,Uhuru Textiles Limited,0.8,7,878.36,878.36,USD,439.86,20.0,No,No,Yes,+255415547822,business_registry,partial
SME_00112,2006-01-29,Kenya,Meru,rural,food_processing,42.0,Male,tertiary,Uzuri Transport SARL,,5,582.94,582.94,USD,504.03,280.08,No,No,Yes,+254267289783,business_registry,partial
SME_00113,2018-06-15,Nigeria,Benin City,urban,services,79.0,Male,tertiary,Lagos Transport & Partners,4.7,1,14438.3,14438.3,USD,721.91,1352.13,No,Don't know,No,+234245524006,business_registry,complete
SME_00114,2020-11-10,Ghana,Ho,peri-urban,textile,29.0,Female,tertiary,Adjoa Traders S.A.,2.2,5,8676.12,8676.12,USD,20355.50516395189,,No,No,Yes,+233308429788,business_registry,complete
SME_00115,2011-07-04,Kenya,Meru,rural,agriculture,48.0,Male,secondary,Safari General Store Group,13.8,7,88.4,88.4,USD,22.95,202.06,No,No,Yes,+254269505236,business_registry,complete
SME_00116,2020-12-19,Rwanda,Huye,urban,textile,59.0,Male,tertiary,Hope Construction Limited,3.5,4,4002.67,4002.67,USD,2944.19,515.23,No,No,No,+250532965506,business_registry,complete
SME_00117,2017-07-28,Uganda,Gulu,rural,food_processing,56.0,Male,secondary,Gorilla Transport,3.5,1,5977.31,5977.31,USD,298.87,281.04,No,No,Yes,+256372671651,business_registry,complete
SME_00118,2005-01-17,Uganda,Gulu,urban,services,50.0,Female,secondary,Gorilla Textiles Ltd,3.0,1,1341.31,1341.31,USD,2229.02,845.96,No,No,Yes,+256765102317,business_registry,complete
SME_00119,2008-08-26,Tanzania,Mwanza,urban,agriculture,56.0,Male,secondary,Karibu Bakery Ltd,1.8,3,22048.21,22048.21,USD,26146.63,77.59,No,No,No,+255210561576,business_registry,complete
SME_00120,2016-07-14,Ghana,Sunyani,peri-urban,retail,42.0,Male,tertiary,Ama Enterprises S.A.,5.2,18,82.48,82.48,USD,,273.46,No,No,Yes,+233539008333,business_registry,partial
SME_00121,2017-08-15,Ghana,Takoradi,peri-urban,food_processing,64.0,Male,tertiary,Mensah Enterprises SARL,7.0,2,50.0,50.0,USD,63.4,182.22,No,No,Yes,+233853967978,business_registry,complete
SME_00122,2006-09-08,Ghana,Ho,urban,retail,59.0,Male,tertiary,Golden Textiles,2.0,6,10065.1,120800.0,GHS,8535.17,1575.63,No,No,Yes,+233251042377,business_registry,partial
SME_00123,2017-04-26,Kenya,Kisumu,urban,retail,30.0,Female,primary,Bora Bakery Limited,10.9,2,342.63,342.63,USD,471.34150076060246,,No,No,No,+254346781985,business_registry,partial
SME_00124,2019-07-29,Nigeria,Lagos,urban,food_processing,46.0,Female,tertiary,Ngozi Solutions Co.,3.7,15,,,USD,,1067.52,Partially,Yes,Yes,+234589242211,business_registry,partial
SME_00125,2006-08-27,Kenya,Nyeri,urban,food_processing,21.0,Female,tertiary,Furaha Traders Co.,8.7,3,192.6,25000.0,KES,69.29,2441.87,No,No,Yes,+254565749314,business_registry,complete
SME_00126,2020-10-27,Tanzania,Zanzibar,urban,agriculture,62.0,Female,tertiary,Baraka Solutions Ltd,6.8,1,6864.75,6864.75,USD,3311.17,69.46,No,No,Yes,+255174122823,business_registry,complete
SME_00127,2014-08-04,Nigeria,Port Harcourt,rural,retail,45.0,Male,secondary,Kola Services & Partners,3.1,2,2733.75,2733.75,USD,2717.77,238.89,Yes,No,Yes,+234842010756,business_registry,complete
SME_00128,2016-02-04,Kenya,Mombasa,urban,agriculture,60.0,Male,secondary,Karibu Foods & Partners,3.6,1,1165.94,1165.94,USD,1367.217407822341,173.2,Partially,No,Yes,+254854884068,business_registry,complete
SME_00129,2005-11-29,Kenya,Eldoret,peri-urban,textile,40.0,Male,none,Tumaini Electronics Ltd,2.6,4,160.39,160.39,USD,48.39,,Partially,No,Yes,+254254311228,business_registry,partial
SME_00130,2016-01-12,Ghana,Tamale,urban,tech,18.0,Male,tertiary,Kofi Traders Ltd,,2,,1109.39,USD,,4947.77,No,No,Yes,+233819803173,business_registry,minimal
SME_00131,2013-03-05,Kenya,Kisumu,urban,retail,77.0,Male,tertiary,Furaha Services Ltd,10.7,2,2699.04,2699.04,USD,556.15,2580.17,No,Don't know,No,+254193139132,business_registry,complete
SME_00132,2011-09-07,Morocco,Oujda,peri-urban,agriculture,43.0,Male,secondary,Rachid Solutions Co.,1.1,19,568.37,568.37,USD,253.42,,No,No,No,+212422778078,business_registry,complete
SME_00133,2019-01-14,Ghana,Ho,rural,agriculture,28.0,Female,tertiary,Adinkra Enterprises Co.,17.7,2,604.42,604.42,USD,333.58,2465.87,No,No,No,+233648152412,business_registry,partial
SME_00134,2009-06-28,Nigeria,Kaduna,peri-urban,retail,57.0,Male,tertiary,Ade Supplies SARL,15.0,4,1508.22,2262300.0,NGN,1304.47,1603.19,No,Yes,No,+234549829902,business_registry,complete
SME_00135,2006-01-30,Ghana,Ho,urban,construction,69.0,Female,primary,Sankofa Tech Ltd,10.2,3,4978.16,4978.16,USD,4658.45,7241.54,No,No,Yes,+233717855636,business_registry,complete
